iter	Passed	Remaining
0	1	157
1	2	139
2	4	134
3	5	130
4	6	128
5	8	132
6	10	143
7	12	139
8	13	133
9	14	129
10	15	126
11	16	123
12	18	120
13	19	116
14	20	113
15	21	111
16	23	112
17	24	113
18	26	111
19	27	109
20	28	107
21	29	105
22	30	103
23	32	101
24	33	99
25	34	98
26	35	96
27	38	97
28	40	98
29	41	96
30	42	95
31	43	93
32	45	91
33	46	89
34	47	88
35	48	86
36	49	85
37	51	83
38	53	83
39	55	83
40	57	82
41	58	80
42	59	78
43	60	77
44	61	75
45	63	73
46	64	72
47	65	70
48	67	70
49	70	70
50	71	68
51	72	66
52	73	65
53	74	63
54	75	61
55	76	60
56	78	58
57	79	57
58	80	56
59	83	55
60	85	54
61	86	52
62	87	51
63	88	50
64	90	48
65	91	47
66	92	45
67	93	44
68	95	42
69	99	42
70	100	41
71	102	39
72	103	38
73	104	36
74	105	35
75	106	33
76	107	32
77	109	30
78	110	29
79	115	28
80	116	27
81	117	25
82	118	24
83	120	22
84	121	21
85	122	19
86	123	18
87	126	17
88	128	15
89	130	14
90	131	12
91	132	11
92	133	10
93	134	8
94	136	7
95	137	5
96	138	4
97	140	2
98	141	1
99	143	0
